Data as of,Start Date,End Date,Sex,Age,Total deaths,COVID-19 Deaths
9/1/2021,1/1/2020,8/28/2021,Female,0,13921,40
9/1/2021,1/1/2020,8/28/2021,Female,1,990,8
9/1/2021,1/1/2020,8/28/2021,Female,2,618,3
9/1/2021,1/1/2020,8/28/2021,Female,3,471,7
9/1/2021,1/1/2020,8/28/2021,Female,4,401,6
9/1/2021,1/1/2020,8/28/2021,Female,5,340,3
9/1/2021,1/1/2020,8/28/2021,Female,6,330,5
9/1/2021,1/1/2020,8/28/2021,Female,7,325,5
9/1/2021,1/1/2020,8/28/2021,Female,8,303,6
9/1/2021,1/1/2020,8/28/2021,Female,9,290,5
9/1/2021,1/1/2020,8/28/2021,Female,10,305,1
9/1/2021,1/1/2020,8/28/2021,Female,11,340,5
9/1/2021,1/1/2020,8/28/2021,Female,12,426,7
9/1/2021,1/1/2020,8/28/2021,Female,13,516,10
9/1/2021,1/1/2020,8/28/2021,Female,14,577,12
9/1/2021,1/1/2020,8/28/2021,Female,15,698,18
9/1/2021,1/1/2020,8/28/2021,Female,16,857,17
9/1/2021,1/1/2020,8/28/2021,Female,17,1013,20
9/1/2021,1/1/2020,8/28/2021,Female,18,1411,34
9/1/2021,1/1/2020,8/28/2021,Female,19,1508,41
9/1/2021,1/1/2020,8/28/2021,Female,20,1675,49
9/1/2021,1/1/2020,8/28/2021,Female,21,1922,48
9/1/2021,1/1/2020,8/28/2021,Female,22,1946,88
9/1/2021,1/1/2020,8/28/2021,Female,23,2178,82
9/1/2021,1/1/2020,8/28/2021,Female,24,2249,81
9/1/2021,1/1/2020,8/28/2021,Female,25,2514,106
9/1/2021,1/1/2020,8/28/2021,Female,26,2671,106
9/1/2021,1/1/2020,8/28/2021,Female,27,2955,150
9/1/2021,1/1/2020,8/28/2021,Female,28,3157,144
9/1/2021,1/1/2020,8/28/2021,Female,29,3536,173
9/1/2021,1/1/2020,8/28/2021,Female,30,3807,239
9/1/2021,1/1/2020,8/28/2021,Female,31,3866,217
